Survived,Pclass,Sex,Age,Sibsp,Parch,Fare,Embarked,Class,Who,Adult_Male,Deck,Embark_Town,Alive,Alone
0,3,Male,1,1,0,15.5,Q,Third,Man,TRUE,N/A,Queenstown,No,FALSE
1,3,Female,0,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,3,Male,2,2,0,21.6792,C,Third,Man,TRUE,N/A,Cherbourg,No,FALSE
0,3,Female,18,1,0,17.8,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,3,Male,7,4,0,39.6875,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
0,3,Male,21,0,0,7.8,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,1,Female,49,1,1,76.7292,C,First,Woman,FALSE,D,Cherbourg,Yes,FALSE
1,2,Female,29,1,0,26,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,1,Male,65,0,0,61.9792,C,First,Man,TRUE,B,Cherbourg,No,FALSE
1,1,Male,0,0,0,35.5,S,First,Man,TRUE,C,Southampton,Yes,TRUE
1,2,Female,21,0,0,10.5,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,3,Male,28,0,5,7.2292,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
1,2,Female,5,1,0,27.75,S,Second,Child,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,11,5,0,46.9,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
0,3,Male,22,0,0,7.2292,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
1,1,Female,38,0,38,80,,First,Woman,FALSE,B,,Yes,TRUE
0,1,Male,45,1,1,83.475,S,First,Man,TRUE,C,Southampton,No,FALSE
0,3,Male,4,3,0,27.9,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
0,1,Male,0,0,0,27.7208,C,First,Man,TRUE,N/A,Cherbourg,No,TRUE
1,3,Male,1,1,0,15.2458,C,Third,Man,TRUE,N/A,Cherbourg,Yes,FALSE
1,2,Female,29,0,0,10.5,S,Second,Woman,FALSE,F,Southampton,Yes,TRUE
0,3,Male,19,0,0,8.1583,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Female,17,4,0,7.925,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,26,2,0,8.6625,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,2,Male,32,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,16,5,0,46.9,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,2,Male,21,0,0,73.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,26,1,0,14.4542,C,Third,Man,TRUE,N/A,Cherbourg,No,FALSE
1,3,Male,32,0,0,56.4958,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Male,25,0,0,7.65,S,Third,Man,TRUE,F,Southampton,No,TRUE
0,3,Male,0,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Male,0,0,83,29,S,Second,Child,FALSE,N/A,Southampton,Yes,FALSE
1,3,Female,30,0,0,12.475,S,Third,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,3,Male,22,0,0,9,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Male,29,0,0,9.5,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
1,3,Female,0,0,0,7.7875,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,1,Male,28,0,0,47.1,S,First,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Female,17,0,0,10.5,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
1,3,Female,33,3,0,15.85,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,16,1,0,34.375,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,0,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,1,Female,23,3,3,263,S,First,Woman,FALSE,C,Southampton,Yes,FALSE
0,3,Male,24,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,29,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,20,0,0,7.8542,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,46,1,1,61.175,S,First,Man,TRUE,E,Southampton,No,FALSE
0,3,Male,26,1,0,20.575,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,59,0,0,7.25,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,71,0,0,34.6542,C,First,Man,TRUE,A,Cherbourg,No,TRUE
1,1,Male,23,0,0,63.3583,C,First,Man,TRUE,D,Cherbourg,Yes,FALSE
1,2,Female,34,0,0,23,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,2,Male,34,1,0,26,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Female,28,0,0,7.8958,S,Third,Woman,FALSE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,21,0,0,77.2875,S,First,Man,TRUE,D,Southampton,No,FALSE
0,3,Male,33,0,0,8.6542,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,37,2,0,7.925,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,28,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Female,21,0,0,7.65,S,Third,Woman,FALSE,N/A,Southampton,Yes,TRUE
1,3,Male,0,0,0,7.775,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Male,38,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Female,1,1,0,24.15,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,FALSE
0,1,Male,47,0,0,52,S,First,Man,TRUE,C,Southampton,No,TRUE
0,3,Female,14,1,5,14.4542,C,Third,Child,FALSE,N/A,Cherbourg,No,FALSE
0,3,Male,22,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,20,1,0,9.825,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,3,Female,17,0,0,14.4583,C,Third,Woman,FALSE,N/A,Cherbourg,No,TRUE
0,3,Male,21,0,0,7.925,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,70,0,5,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
0,2,Male,29,1,0,21,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
0,1,Male,24,0,0,247.5208,C,First,Man,TRUE,B,Cherbourg,No,FALSE
0,3,Female,2,4,0,31.275,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
0,2,Male,21,2,0,73.5,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,0,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,32,1,5,30.0708,C,Second,Man,TRUE,N/A,Cherbourg,No,FALSE
1,2,Female,32,0,0,13,S,Second,Woman,FALSE,E,Southampton,Yes,TRUE
0,1,Male,54,0,0,77.2875,S,First,Man,TRUE,D,Southampton,No,FALSE
1,3,Male,12,1,0,11.2417,C,Third,Child,FALSE,N/A,Cherbourg,Yes,FALSE
0,3,Male,0,0,0,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
1,3,Male,24,0,0,7.1417,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
1,3,Female,1,1,1,22.3583,C,Third,Woman,FALSE,F,Cherbourg,Yes,FALSE
0,3,Male,45,0,0,6.975,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,33,0,0,7.8958,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
0,3,Male,20,0,0,7.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,47,1,0,14.5,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
1,2,Female,29,1,0,26,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,2,Male,25,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,23,0,0,15.0458,C,Second,Man,TRUE,N/A,Cherbourg,No,TRUE
1,1,Female,19,0,0,26.2833,S,First,Woman,FALSE,D,Southampton,Yes,FALSE
0,1,Male,37,1,1,53.1,S,First,Man,TRUE,C,Southampton,No,FALSE
0,3,Male,16,0,0,9.2167,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,24,0,0,79.2,C,First,Man,TRUE,B,Cherbourg,No,TRUE
0,3,Female,0,0,0,15.2458,C,Third,Woman,FALSE,N/A,Cherbourg,No,FALSE
1,3,Female,22,0,0,7.75,S,Third,Woman,FALSE,N/A,Southampton,Yes,TRUE
1,3,Female,24,1,0,15.85,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,19,0,0,6.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
0,2,Male,18,0,0,11.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,19,1,0,36.75,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
1,3,Male,27,0,0,7.7958,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Female,9,2,0,34.375,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
0,2,Male,36,0,0,26,S,Second,Man,TRUE,F,Southampton,No,FALSE
0,2,Male,42,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,51,0,0,12.525,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
1,1,Female,22,1,1,66.6,S,First,Woman,FALSE,C,Southampton,Yes,FALSE
0,3,Male,55,0,5,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,40,0,5,14.5,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,0,0,0,7.3125,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,51,0,0,61.3792,C,First,Man,TRUE,N/A,Cherbourg,No,FALSE
1,3,Female,16,0,0,7.7333,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,3,Male,30,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,8.6625,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,8,8,0,69.55,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,44,0,0,16.1,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
1,2,Female,40,0,0,15.75,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,3,Male,26,0,0,7.775,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,17,0,0,8.6625,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,1,4,0,39.6875,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
1,3,Male,9,0,0,20.525,S,Third,Child,FALSE,N/A,Southampton,Yes,FALSE
1,1,Female,0,0,0,55,S,First,Woman,FALSE,E,Southampton,Yes,FALSE
0,3,Female,45,1,0,27.9,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,1,Male,0,0,0,25.925,S,First,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,28,0,0,56.4958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,61,0,0,33.5,S,First,Man,TRUE,B,Southampton,No,TRUE
0,3,Male,4,4,0,29.125,Q,Third,Child,FALSE,N/A,Queenstown,No,FALSE
1,3,Female,1,1,0,11.1333,S,Third,Child,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,21,0,0,7.925,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,1,Male,56,0,0,30.6958,C,First,Man,TRUE,A,Cherbourg,No,TRUE
0,3,Male,18,1,0,7.8542,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,3,3,0,25.4667,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,1,Female,50,0,0,28.7125,C,First,Woman,FALSE,C,Cherbourg,No,TRUE
0,2,Male,30,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,36,0,0,0,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,8,8,0,69.55,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
0,2,Male,0,0,0,15.05,C,Second,Man,TRUE,N/A,Cherbourg,No,TRUE
0,3,Male,9,4,0,31.3875,S,Third,Child,FALSE,N/A,Southampton,No,FALSE
1,2,Male,1,2,2,39,S,Second,Child,FALSE,F,Southampton,Yes,FALSE
1,3,Female,4,0,0,22.025,S,Third,Child,FALSE,N/A,Southampton,Yes,FALSE
0,1,Male,0,0,0,50,S,First,Man,TRUE,A,Southampton,No,TRUE
1,3,Female,1,1,0,15.5,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,FALSE
1,1,Male,45,0,0,26.55,S,First,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Male,40,1,0,15.5,Q,Third,Man,TRUE,N/A,Queenstown,No,FALSE
0,3,Male,36,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Female,32,0,0,13,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,2,Male,19,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Female,19,1,0,7.8542,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
1,2,Male,3,1,1,26,S,Second,Child,FALSE,F,Southampton,Yes,FALSE
1,1,Female,44,0,0,27.7208,C,First,Woman,FALSE,B,Cherbourg,Yes,TRUE
1,1,Female,58,0,0,146.5208,C,First,Woman,FALSE,B,Cherbourg,Yes,TRUE
0,3,Male,0,0,0,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
0,3,Male,42,0,0,8.4042,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
1,3,Female,0,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
0,2,Female,24,0,0,13,S,Second,Woman,FALSE,N/A,Southampton,No,TRUE
0,3,Male,28,0,0,9.5,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,8,8,0,69.55,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,34,0,0,6.4958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,45,0,5,7.225,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
1,3,Male,18,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Female,2,0,0,10.4625,S,Third,Child,FALSE,G,Southampton,No,FALSE
0,3,Male,32,1,0,15.85,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
1,3,Male,26,0,0,18.7875,C,Third,Man,TRUE,N/A,Cherbourg,Yes,TRUE
1,3,Female,16,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
1,1,Male,40,0,0,31,C,First,Man,TRUE,A,Cherbourg,Yes,TRUE
0,3,Male,24,0,0,7.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Female,35,0,0,21,S,Second,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,3,Male,22,0,0,7.25,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,30,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,1,1,0,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,FALSE
1,1,Female,31,1,1,113.275,C,First,Woman,FALSE,D,Cherbourg,Yes,FALSE
1,3,Female,27,0,0,7.925,S,Third,Woman,FALSE,N/A,Southampton,Yes,TRUE
0,2,Male,42,1,0,27,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
1,1,Female,32,0,0,76.2917,C,First,Woman,FALSE,D,Cherbourg,Yes,TRUE
0,2,Male,30,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Male,16,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,2,Male,27,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,51,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,0,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,1,Male,38,1,1,90,S,First,Man,TRUE,C,Southampton,Yes,FALSE
0,3,Male,22,0,0,9.35,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Male,19,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Male,20,0,5,7.25,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,18,0,0,13,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,3,3,0,25.4667,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
1,1,Female,35,1,1,83.475,S,First,Woman,FALSE,C,Southampton,Yes,FALSE
0,3,Male,29,0,0,7.775,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,59,0,0,13.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Female,5,4,0,31.3875,S,Third,Child,FALSE,N/A,Southampton,Yes,FALSE
0,2,Male,24,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,0,0,0,7.55,S,Third,Woman,FALSE,N/A,Southampton,No,TRUE
0,2,Male,44,1,0,26,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
1,2,Female,8,0,0,26.25,S,Second,Child,FALSE,N/A,Southampton,Yes,FALSE
0,2,Male,19,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,2,Male,33,0,0,12.275,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,1,1,0,14.4542,C,Third,Woman,FALSE,N/A,Cherbourg,No,FALSE
1,3,Female,1,1,0,15.5,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,FALSE
0,2,Male,29,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,22,0,0,7.125,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,30,0,0,7.225,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
0,1,Male,44,2,2,90,Q,First,Man,TRUE,C,Queenstown,No,FALSE
0,3,Female,25,0,0,7.775,S,Third,Woman,FALSE,N/A,Southampton,No,TRUE
1,2,Female,24,0,0,14.5,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
1,1,Male,37,1,1,52.5542,S,First,Man,TRUE,D,Southampton,Yes,FALSE
0,2,Male,54,1,0,26,S,Second,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Male,0,0,0,7.25,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Female,29,1,1,10.4625,S,Third,Woman,FALSE,G,Southampton,No,FALSE
0,1,Male,62,0,0,26.55,S,First,Man,TRUE,C,Southampton,No,TRUE
0,3,Male,30,1,0,16.1,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
0,3,Female,41,0,0,20.2125,S,Third,Woman,FALSE,N/A,Southampton,No,FALSE
1,3,Female,29,0,0,15.2458,C,Third,Woman,FALSE,N/A,Cherbourg,Yes,FALSE
1,1,Female,0,0,0,79.2,C,First,Woman,FALSE,N/A,Cherbourg,Yes,TRUE
1,1,Female,30,0,0,86.5,S,First,Woman,FALSE,B,Southampton,Yes,TRUE
1,1,Female,35,0,0,512.3292,C,First,Woman,FALSE,N/A,Cherbourg,Yes,TRUE
1,2,Female,50,0,0,26,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,0,0,0,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
1,3,Male,3,4,0,31.3875,S,Third,Child,FALSE,N/A,Southampton,Yes,FALSE
0,1,Male,52,1,1,79.65,S,First,Man,TRUE,E,Southampton,No,FALSE
0,1,Male,40,0,0,0,S,First,Man,TRUE,B,Southampton,No,TRUE
0,3,Female,0,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,No,TRUE
0,2,Male,36,0,0,10.5,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,16,4,0,39.6875,S,Third,Man,TRUE,N/A,Southampton,No,FALSE
1,3,Male,25,1,0,7.775,S,Third,Man,TRUE,N/A,Southampton,Yes,FALSE
1,1,Female,58,0,0,153.4625,S,First,Woman,FALSE,C,Southampton,Yes,FALSE
1,1,Female,35,0,0,135.6333,S,First,Woman,FALSE,C,Southampton,Yes,TRUE
0,1,Male,0,0,0,31,S,First,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Male,25,0,0,0,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
1,2,Female,41,0,0,19.5,S,Second,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,1,Male,37,0,0,29.7,C,First,Man,TRUE,C,Cherbourg,No,FALSE
1,3,Female,0,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
1,1,Female,63,1,1,77.9583,S,First,Woman,FALSE,D,Southampton,Yes,FALSE
0,3,Female,45,0,0,7.75,S,Third,Woman,FALSE,N/A,Southampton,No,TRUE
0,2,Male,0,0,0,0,S,Second,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,7,4,0,29.125,Q,Third,Child,FALSE,N/A,Queenstown,No,FALSE
1,3,Female,35,1,0,20.25,S,Third,Woman,FALSE,N/A,Southampton,Yes,FALSE
0,3,Male,65,0,0,7.75,Q,Third,Man,TRUE,N/A,Queenstown,No,TRUE
0,3,Male,28,0,0,7.8542,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
0,3,Male,16,0,0,9.5,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,3,Male,19,0,0,8.05,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,1,Male,0,0,0,26,S,First,Man,TRUE,A,Southampton,No,TRUE
0,3,Male,33,0,0,8.6625,C,Third,Man,TRUE,N/A,Cherbourg,No,TRUE
1,3,Male,30,0,0,9.5,S,Third,Man,TRUE,N/A,Southampton,Yes,TRUE
0,3,Male,22,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
1,2,Male,42,0,0,13,S,Second,Man,TRUE,N/A,Southampton,Yes,TRUE
1,3,Female,22,0,0,7.75,Q,Third,Woman,FALSE,N/A,Queenstown,Yes,TRUE
1,1,Female,26,0,0,78.85,S,First,Woman,FALSE,N/A,Southampton,Yes,TRUE
1,1,Female,19,1,1,91.0792,C,First,Woman,FALSE,B,Cherbourg,Yes,FALSE
0,2,Male,36,0,0,12.875,C,Second,Man,TRUE,D,Cherbourg,No,TRUE
0,3,Female,24,0,0,8.85,S,Third,Woman,FALSE,N/A,Southampton,No,TRUE
0,3,Male,24,0,0,7.8958,S,Third,Man,TRUE,N/A,Southampton,No,TRUE
